Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID (mapped data supplied by NCBI)	UniProt ID (mapped data supplied by UniProt)
A1BG	alpha-1-B glycoprotein			1	P04217
A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538	
A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF	29974	Q9NQ94
A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5	2	P01023
A2M-AS1	A2M antisense RNA 1			144571	
A2ML1	alpha-2-macroglobulin-like 1	CPAMD9	FLJ25179	144568	A8K2U0
A2ML1-AS1	A2ML1 antisense RNA 1			100874108	
A2ML1-AS2	A2ML1 antisense RNA 2				
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		3	
A3GALT2P	alpha 1,3-galactosyltransferase 2, pseudogene	A3GALT2	IGBS3S	127550	
A4GALT	alpha 1,4-galactosyltransferase		A14GALT, Gb3S, P(k)	53947	Q9NPC4
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT	51146	Q9UNA3
AAAS	achalasia, adrenocortical insufficiency, alacrimia			8086	Q9NRG9
AACP	arylamide acetylase pseudogene		NATP	11	
AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	65985	Q86V21
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		729522	
AADAC	arylacetamide deacetylase		DAC, CES5A1	13	P22760
AADACL2	arylacetamide deacetylase-like 2		MGC72001	344752	Q6P093
AADACL3	arylacetamide deacetylase-like 3		OTTHUMG00000001887	126767	Q5VUY0
AADACL4	arylacetamide deacetylase-like 4		OTTHUMG00000001889	343066	Q5VUY2
AADAT	aminoadipate aminotransferase		KATII, KAT2	51166	Q8N5Z0
AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21		195827	Q7RTV5
AAGAB	alpha- and gamma-adaptin binding protein		FLJ11506, p34	79719	Q6PD74
AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132	22848	Q2M2I8
AAMDC	adipogenesis associated, Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067	28971	Q9H7C9
AAMP	angio-associated, migratory cell protein			14	Q13685
AANAT	aralkylamine N-acetyltransferase		SNAT	15	Q16613
AAR2	AAR2 splicing factor homolog (S. cerevisiae)	C20orf4	bA234K24.2	25980	Q9Y312
AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376	441376	Q4LEZ3
AARS	alanyl-tRNA synthetase			16	P49588
AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1	57505	Q5JTZ9
AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744	80755	Q9BTE6
AASDH	aminoadipate-semialdehyde dehydrogenase		NRPS998, LYS2, ACSF4	132949	Q4L235
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		LYS5, CGI-80, AASD-PPT	60496	Q9NRN7
AASS	aminoadipate-semialdehyde synthase		LORSDH, LKRSDH	10157	Q9UDR5
AATF	apoptosis antagonizing transcription factor		DED, CHE-1, CHE1	26574	Q9NY61
AATK	apoptosis-associated tyrosine kinase		AATYK, KIAA0641, LMTK1, LMR1, AATYK1	9625	Q6ZMQ8
AATK-AS1	AATK antisense RNA 1			388428	
AAVS1	adeno-associated virus integration site 1		AAV	17	
ABAT	4-aminobutyrate aminotransferase		GABAT	18	P80404
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	ABC1, HDLDT1	TGD	19	O95477
ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	ABC2		20	Q9BZC7
ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC3	ABC-C, EST111653, LBM180	21	Q99758
ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	STGD1, ABCR, RP19, STGD	FFM, ARMD2	24	P78363
ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5		EST90625	23461	Q8WWZ7
ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6		EST155051	23460	Q8N139
ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7		ABCX	10347	Q8IZY2
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8		KIAA0822	10351	O94911
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9		EST640918	10350	Q8IUA7
ABCA9-AS1	ABCA9 antisense RNA 1				
ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10		EST698739	10349	Q8WWZ4
ABCA11P	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	ABCA11	EST1133530, FLJ14297	79963	Q4W5N1
ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	ICR2B	DKFZP434G232, LI2	26154	Q86UK0
ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13		FLJ33876, FLJ33951	154664	Q86UQ4
ABCA17P	ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene			650655	
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243	P08183
ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244	P21439
ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5		EST422562, ABCB5beta, ABCB5alpha	340273	Q2M3G0
ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6		EST45597, umat, MTABC3	10058	Q9NP58
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ABC7	EST140535, Atm1p, ASAT	22	O75027
ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8		EST328128, M-ABC1, MABC1	11194	Q9NUT2
ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9		EST122234	23457	Q9NP78
ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10		EST20237, M-ABC2, MTABC2	23456	Q9NRK6
ABCB10P1	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476	
ABCB10P3	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3			728248	
ABCB10P4	ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4			100132289	
ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647	O95342
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	MRP, MRP1	GS-X	4363	P33527
ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	CMOAT	DJS, MRP2, cMRP	1244	Q92887
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714	O15438
ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4		MRP4, EST170205, MOAT-B, MOATB	10257	O15439
ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5		MRP5, SMRP, EST277145, MOAT-C	10057	O15440
ABCC5-AS1	ABCC5 antisense RNA 1			100873982	
